Adult_Threshold,Outcome_Definition,Method,GC_Model,ATE,95%_Bootstrap_CI
20,inclusive,PSM,gpt-o3-mini-high,-0.576841609790539,"(-1.4718757354671688, -0.5662508825606026)"
20,inclusive,IPW,gpt-o3-mini-high,-0.19811009498386545,"(-0.21961342362591252, -0.1724001189967096)"
20,inclusive,PSM,gpt-o1,-0.576841609790539,"(-1.4624617557072255, -0.567192280536597)"
20,inclusive,IPW,gpt-o1,-0.19811009498386545,"(-0.22191619885224123, -0.17015878351586722)"
20,inclusive,PSM,gpt-o4,-0.576841609790539,"(-1.4570487173452578, -0.567192280536597)"
20,inclusive,IPW,gpt-o4,-0.19811009498386545,"(-0.21870855936237743, -0.17863828640568347)"
21,strict,PSM,gpt-o3-mini-high,-0.1852200517768887,"(-0.2398211343845611, -0.12379383384325726)"
21,strict,IPW,gpt-o3-mini-high,-0.16506090474125107,"(-0.2020627030756098, -0.13558910581733968)"
21,strict,PSM,gpt-o1,-0.18545540127088728,"(-0.23228995057660629, -0.13720875500117677)"
21,strict,IPW,gpt-o1,-0.16506090474125107,"(-0.19306554949192872, -0.13843436928476455)"
21,strict,PSM,gpt-o4,-0.18545540127088728,"(-0.20310661332078137, -0.12049894092727703)"
21,strict,IPW,gpt-o4,-0.16506090474125107,"(-0.19010193431488415, -0.13607368554395072)"
20,strict,PSM,gpt-o3-mini-high,-0.18780889621087316,"(-0.3101906330901389, -0.15085902565309486)"
20,strict,IPW,gpt-o3-mini-high,-0.15009724715919487,"(-0.17482885127695663, -0.12102312841352042)"
20,strict,PSM,gpt-o1,-0.1927512355848435,"(-0.26312073429042127, -0.14874088020710757)"
20,strict,IPW,gpt-o1,-0.15009724715919487,"(-0.1882742869138878, -0.11216430063680671)"
20,strict,PSM,gpt-o4,-0.1927512355848435,"(-0.28359614026829844, -0.14473993880913158)"
20,strict,IPW,gpt-o4,-0.15009724715919487,"(-0.1903285981637719, -0.11317626224461419)"
23,inclusive,PSM,gpt-o3-mini-high,-0.21134384561073194,"(-0.27935984937632385, -0.16851023770298895)"
23,inclusive,IPW,gpt-o3-mini-high,-0.21993955437871782,"(-0.26187085105520647, -0.18150956458600487)"
23,inclusive,PSM,gpt-o1,-0.20781360320075312,"(-0.31042598258413745, -0.12567662979524596)"
23,inclusive,IPW,gpt-o1,-0.21993955437871782,"(-0.25930162265588097, -0.1852291152009291)"
23,inclusive,PSM,gpt-o4,-0.20781360320075312,"(-0.31419157448811486, -0.10284772887738292)"
23,inclusive,IPW,gpt-o4,-0.21993955437871782,"(-0.2595474893366161, -0.18675554604870415)"
21,inclusive,PSM,gpt-o3-mini-high,-0.19769357495881384,"(-0.2621793363144269, -0.15156507413509063)"
21,inclusive,IPW,gpt-o3-mini-high,-0.17741991152894532,"(-0.21009252365542308, -0.1428843265375469)"
21,inclusive,PSM,gpt-o1,-0.19792892445281243,"(-0.22946575664862323, -0.15180042362908922)"
21,inclusive,IPW,gpt-o1,-0.17741991152894532,"(-0.20838312226215594, -0.14409757541922663)"
21,inclusive,PSM,gpt-o4,-0.19792892445281243,"(-0.2492351141445046, -0.15909625794304544)"
21,inclusive,IPW,gpt-o4,-0.17741991152894532,"(-0.20652693488956442, -0.14413635434568173)"
23,strict,PSM,gpt-o3-mini-high,-0.16898093669098613,"(-0.21605083549070372, -0.09719934102141684)"
23,strict,IPW,gpt-o3-mini-high,-0.18541865948836372,"(-0.22706255916870033, -0.14772281113362673)"
23,strict,PSM,gpt-o1,-0.13132501765121204,"(-0.18780889621087316, 0.041656860437750076)"
23,strict,IPW,gpt-o1,-0.18541865948836372,"(-0.2435575598649634, -0.14463855640700546)"
23,strict,PSM,gpt-o4,-0.13132501765121204,"(-0.20381266180277713, -0.009178630265944898)"
23,strict,IPW,gpt-o4,-0.18541865948836372,"(-0.2314878649600206, -0.1370018806798488)"
