Age Threshold,Outcome Type,Method,Model,ATE,CI Lower,CI Upper
20,strict,IPW,GPT-o1,-0.1843,-0.2202,-0.1479
20,strict,IPW,GPT-o3-mini-high,-0.1501,-0.1904,-0.1173
20,strict,IPW,GPT-o4,-0.2261,-0.2565,-0.1948
20,strict,PSM,GPT-o1,-0.2132,-0.2777,-0.1772
20,strict,PSM,GPT-o3-mini-high,-0.1878,-0.2916,-0.1469
20,strict,PSM,GPT-o4,-0.6056,-1.5018,-0.5914
20,inclusive,IPW,GPT-o1,-0.1527,-0.1795,-0.1238
20,inclusive,IPW,GPT-o3-mini-high,-0.1316,-0.1617,-0.1008
20,inclusive,IPW,GPT-o4,-0.1981,-0.2282,-0.171
20,inclusive,PSM,GPT-o1,-0.1697,-0.2641,-0.1398
20,inclusive,PSM,GPT-o3-mini-high,-0.1447,-0.1968,-0.0993
20,inclusive,PSM,GPT-o4,-0.5773,-1.4693,-0.566
21,strict,IPW,GPT-o1,-0.2117,-0.2458,-0.1776
21,strict,IPW,GPT-o3-mini-high,-0.1651,-0.1984,-0.1276
21,strict,IPW,GPT-o4,-0.2611,-0.2935,-0.2326
21,strict,PSM,GPT-o1,-0.2398,-0.2921,-0.1982
21,strict,PSM,GPT-o3-mini-high,-0.1852,-0.2285,-0.1252
21,strict,PSM,GPT-o4,-0.3107,-0.9049,0.0066
21,inclusive,IPW,GPT-o1,-0.2062,-0.2362,-0.1748
21,inclusive,IPW,GPT-o3-mini-high,-0.1774,-0.2065,-0.1423
21,inclusive,IPW,GPT-o4,-0.2617,-0.2915,-0.2338
21,inclusive,PSM,GPT-o1,-0.2161,-0.2577,-0.1772
21,inclusive,PSM,GPT-o3-mini-high,-0.1977,-0.2561,-0.1511
21,inclusive,PSM,GPT-o4,0.2328,0.2273,1.1299
23,strict,IPW,GPT-o1,-0.2336,-0.2768,-0.193
23,strict,IPW,GPT-o3-mini-high,-0.1854,-0.2275,-0.1414
23,strict,IPW,GPT-o4,-0.2846,-0.3244,-0.2522
23,strict,PSM,GPT-o1,-0.2029,-0.2452,-0.1405
23,strict,PSM,GPT-o3-mini-high,-0.169,-0.2391,-0.0991
23,strict,PSM,GPT-o4,0.2758,0.1944,1.1702
23,inclusive,IPW,GPT-o1,-0.2539,-0.3017,-0.2154
23,inclusive,IPW,GPT-o3-mini-high,-0.2199,-0.2579,-0.1782
23,inclusive,IPW,GPT-o4,-0.3162,-0.3537,-0.2829
23,inclusive,PSM,GPT-o1,-0.2139,-0.2389,-0.1294
23,inclusive,PSM,GPT-o3-mini-high,-0.2113,-0.2765,-0.1527
23,inclusive,PSM,GPT-o4,0.1925,0.1819,1.0906
